framework,projeto,caminho,versao,delay,Data do commit,hora,data da versao,data,hora,
Android,aliyun/alicloud-android-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aliyun/alicloud-android-demo/man_android_demo/build.gradle,21,357,Data do commit: 2015-10-09, 12:16:49,Data de lancamento da versao,2014-10-17, 00:00:00,138
Android,aliyun/alicloud-android-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aliyun/alicloud-android-demo/man_android_demo/build.gradle,23,64,Data do commit: 2015-10-20, 14:51:53,Data de lancamento da versao,2015-08-17, 00:00:00,9
Android,tvbarthel/ChaseWhisplyProject,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tvbarthel/ChaseWhisplyProject/ChaseWhisply/build.gradle,24,118,Data do commit: 2016-10-11, 08:36:46,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,nicolasjafelle/PagingListView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/nicolasjafelle/PagingListView/PagingListViewProject/PagingListView/build.gradle,22,81,Data do commit: 2015-05-29, 19:22:11,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,nicolasjafelle/PagingListView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/nicolasjafelle/PagingListView/PagingListViewProject/PagingListViewSample/build.gradle,22,81,Data do commit: 2015-05-29, 19:22:11,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,android-hacker/VirtualXposed,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/android-hacker/VirtualXposed/VirtualApp/lib/build.gradle,25,31,Data do commit: 2016-12-23, 14:59:45,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,android-hacker/VirtualXposed,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/android-hacker/VirtualXposed/VirtualApp/lib/build.gradle,23,494,Data do commit: 2016-12-23, 00:44:03,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,android-hacker/VirtualXposed,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/android-hacker/VirtualXposed/VirtualApp/lib/build.gradle,25,35,Data do commit: 2016-12-27, 21:21:39,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,android-hacker/VirtualXposed,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/android-hacker/VirtualXposed/VirtualApp/lib/build.gradle,24,269,Data do commit: 2017-03-12, 00:51:24,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,exallium/RxRecyclerView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/exallium/RxRecyclerView/lib/build.gradle,22,101,Data do commit: 2015-06-18, 11:52:11,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,exallium/RxRecyclerView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/exallium/RxRecyclerView/lib/build.gradle,21,252,Data do commit: 2015-06-27, 00:47:11,Data de lancamento da versao,2014-10-17, 00:00:00,
Android,exallium/RxRecyclerView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/exallium/RxRecyclerView/lib/build.gradle,22,112,Data do commit: 2015-06-29, 10:01:39,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,android-hacker/VirtualXposed,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/android-hacker/VirtualXposed/VirtualApp/app/build.gradle,25,31,Data do commit: 2016-12-23, 14:59:45,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,android-hacker/VirtualXposed,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/android-hacker/VirtualXposed/VirtualApp/app/build.gradle,23,494,Data do commit: 2016-12-23, 00:44:03,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,android-hacker/VirtualXposed,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/android-hacker/VirtualXposed/VirtualApp/app/build.gradle,25,35,Data do commit: 2016-12-27, 21:21:39,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,tekinarslan/AndroidMaterialDesignToolbar,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tekinarslan/AndroidMaterialDesignToolbar/app/build.gradle,22,71,Data do commit: 2015-05-19, 21:43:41,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,exallium/RxRecyclerView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/exallium/RxRecyclerView/app/build.gradle,22,101,Data do commit: 2015-06-18, 11:52:11,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,exallium/RxRecyclerView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/exallium/RxRecyclerView/app/build.gradle,21,252,Data do commit: 2015-06-27, 00:47:11,Data de lancamento da versao,2014-10-17, 00:00:00,
Android,exallium/RxRecyclerView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/exallium/RxRecyclerView/app/build.gradle,22,112,Data do commit: 2015-06-29, 10:01:39,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/library/build.gradle,21,47,Data do commit: 2014-12-03, 21:21:31,Data de lancamento da versao,2014-10-17, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/library/build.gradle,20,166,Data do commit: 2014-12-08, 13:52:37,Data de lancamento da versao,2014-06-25, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/library/build.gradle,21,60,Data do commit: 2014-12-16, 16:35:06,Data de lancamento da versao,2014-10-17, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/library/build.gradle,22,12,Data do commit: 2015-03-20, 21:41:34,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/library/build.gradle,21,167,Data do commit: 2015-04-02, 11:16:52,Data de lancamento da versao,2014-10-17, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/library/build.gradle,22,64,Data do commit: 2015-05-12, 21:35:14,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/library/build.gradle,23,59,Data do commit: 2015-10-15, 11:36:26,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/library/build.gradle,22,327,Data do commit: 2016-01-30, 15:47:52,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/library/build.gradle,23,190,Data do commit: 2016-02-23, 23:09:49,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,Devlight/TintLayout,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Devlight/TintLayout/app/build.gradle,23,344,Data do commit: 2016-07-26, 16:29:38,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,ValuesFeng/AndroidPicturePicker,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/ValuesFeng/AndroidPicturePicker/app/build.gradle,23,136,Data do commit: 2015-12-31, 11:42:06,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,ValuesFeng/AndroidPicturePicker,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/ValuesFeng/AndroidPicturePicker/gallery/build.gradle,23,136,Data do commit: 2015-12-31, 11:42:06,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,blazsolar/HorizontalPicker,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/blazsolar/HorizontalPicker/HorizontalPicker/build.gradle,23,37,Data do commit: 2015-09-23, 13:33:09,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,blazsolar/HorizontalPicker,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/blazsolar/HorizontalPicker/HorizontalPickerExample/build.gradle,23,37,Data do commit: 2015-09-23, 13:33:09,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,emotionsense/SensorManager,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/emotionsense/SensorManager/build.gradle,23,247,Data do commit: 2016-04-20, 17:32:22,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,gowong/material-sheet-fab,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/gowong/material-sheet-fab/material-sheet-fab/build.gradle,23,40,Data do commit: 2015-09-26, 15:02:07,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,gowong/material-sheet-fab,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/gowong/material-sheet-fab/sample/build.gradle,23,40,Data do commit: 2015-09-26, 15:02:07,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,MichaelEvans/Aftermath,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MichaelEvans/Aftermath/aftermath/build.gradle,23,8,Data do commit: 2015-08-24, 22:11:51,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/sample/build.gradle,21,47,Data do commit: 2014-12-03, 21:21:31,Data de lancamento da versao,2014-10-17, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/sample/build.gradle,20,166,Data do commit: 2014-12-08, 13:52:37,Data de lancamento da versao,2014-06-25, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/sample/build.gradle,21,60,Data do commit: 2014-12-16, 16:35:06,Data de lancamento da versao,2014-10-17, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/sample/build.gradle,22,12,Data do commit: 2015-03-20, 21:41:34,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/sample/build.gradle,21,167,Data do commit: 2015-04-02, 11:16:52,Data de lancamento da versao,2014-10-17, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/sample/build.gradle,22,64,Data do commit: 2015-05-12, 21:35:14,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/sample/build.gradle,23,59,Data do commit: 2015-10-15, 11:36:26,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/sample/build.gradle,22,327,Data do commit: 2016-01-30, 15:47:52,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/sample/build.gradle,23,190,Data do commit: 2016-02-23, 23:09:49,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,kaaes/spotify-web-api-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/kaaes/spotify-web-api-android/spotify-api/build.gradle,23,102,Data do commit: 2015-11-27, 16:09:23,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,kaaes/spotify-web-api-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/kaaes/spotify-web-api-android/spotify-api/build.gradle,22,263,Data do commit: 2015-11-27, 16:10:53,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,kaaes/spotify-web-api-android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/kaaes/spotify-web-api-android/spotify-api/build.gradle,23,102,Data do commit: 2015-11-27, 17:58:59,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,maxiee/HeartBeat,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/maxiee/HeartBeat/app/build.gradle,23,31,Data do commit: 2015-09-17, 13:13:51,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,MichaelEvans/Aftermath,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MichaelEvans/Aftermath/sample/build.gradle,23,8,Data do commit: 2015-08-24, 22:11:51,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,toddway/ListOfThings,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/toddway/ListOfThings/app/build.gradle,24,46,Data do commit: 2016-07-31, 17:09:04,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,k0shk0sh/PermissionHelper,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/k0shk0sh/PermissionHelper/app/build.gradle,24,55,Data do commit: 2016-08-09, 16:28:47,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,k0shk0sh/PermissionHelper,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/k0shk0sh/PermissionHelper/permission/build.gradle,24,55,Data do commit: 2016-08-09, 16:28:47,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,tianzhijiexian/DBinding,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tianzhijiexian/DBinding/dbindinglib/build.gradle,24,20,Data do commit: 2016-07-05, 16:53:44,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,tianzhijiexian/DBinding,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tianzhijiexian/DBinding/dbindinglib/build.gradle,25,27,Data do commit: 2016-12-19, 11:26:10,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,colintheshots/AnDevCon-RxPatterns,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/colintheshots/AnDevCon-RxPatterns/app/build.gradle,23,108,Data do commit: 2015-12-03, 05:10:25,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,colintheshots/AnDevCon-RxPatterns,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/colintheshots/AnDevCon-RxPatterns/app/build.gradle,24,50,Data do commit: 2016-08-04, 02:14:58,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,Slyce-Inc/SlyceMessaging,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Slyce-Inc/SlyceMessaging/example/build.gradle,24,50,Data do commit: 2016-08-04, 16:03:52,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,Slyce-Inc/SlyceMessaging,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Slyce-Inc/SlyceMessaging/slyce-messaging/build.gradle,24,50,Data do commit: 2016-08-04, 16:03:52,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,jacek-marchwicki/JavaWebsocketClient,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/jacek-marchwicki/JavaWebsocketClient/websockets-rxjava-example/build.gradle,25,120,Data do commit: 2017-03-22, 18:19:14,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,maksim88/PasswordEditText,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/maksim88/PasswordEditText/library/build.gradle,24,99,Data do commit: 2016-09-22, 17:43:19,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,maksim88/PasswordEditText,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/maksim88/PasswordEditText/library/build.gradle,25,83,Data do commit: 2017-02-13, 22:30:31,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,anzaizai/EasyRefreshLayout,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/anzaizai/EasyRefreshLayout/app/build.gradle,25,231,Data do commit: 2017-07-11, 13:14:31,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,anzaizai/EasyRefreshLayout,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/anzaizai/EasyRefreshLayout/library/build.gradle,25,231,Data do commit: 2017-07-11, 13:14:31,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,tianzhijiexian/DBinding,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tianzhijiexian/DBinding/app/build.gradle,24,20,Data do commit: 2016-07-05, 16:53:44,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,tianzhijiexian/DBinding,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tianzhijiexian/DBinding/app/build.gradle,25,27,Data do commit: 2016-12-19, 11:26:10,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,maksim88/PasswordEditText,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/maksim88/PasswordEditText/sample/build.gradle,24,99,Data do commit: 2016-09-22, 17:43:19,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,maksim88/PasswordEditText,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/maksim88/PasswordEditText/sample/build.gradle,25,83,Data do commit: 2017-02-13, 22:30:31,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,ricknout/lens-launcher,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/ricknout/lens-launcher/app/build.gradle,24,12,Data do commit: 2016-06-27, 14:03:45,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,ricknout/lens-launcher,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/ricknout/lens-launcher/app/build.gradle,25,0,Data do commit: 2016-11-12, 00:36:28,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,lukaspili/Reactive-Billing,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/lukaspili/Reactive-Billing/library/build.gradle,25,0,Data do commit: 2016-10-27, 13:14:40,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,lukaspili/Reactive-Billing,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/lukaspili/Reactive-Billing/library/build.gradle,23,440,Data do commit: 2016-10-30, 17:47:44,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,lukaspili/Reactive-Billing,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/lukaspili/Reactive-Billing/library/build.gradle,25,84,Data do commit: 2017-02-14, 15:28:00,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,vlonjatg/progress-activity,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/vlonjatg/progress-activity/library/build.gradle,23,51,Data do commit: 2015-10-07, 11:06:22,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,vlonjatg/progress-activity,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/vlonjatg/progress-activity/library/build.gradle,25,71,Data do commit: 2017-02-01, 11:38:51,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,vlonjatg/progress-activity,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/vlonjatg/progress-activity/library/build.gradle,26,204,Data do commit: 2017-12-29, 17:16:52,Data de lancamento da versao,2017-06-08, 00:00:00,
Android,aliyun/alicloud-android-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aliyun/alicloud-android-demo/mpush_android_demo/build.gradle,26,264,Data do commit: 2018-02-27, 14:27:18,Data de lancamento da versao,2017-06-08, 00:00:00,
Android,aliyun/alicloud-android-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aliyun/alicloud-android-demo/mpush_android_demo/build.gradle,23,926,Data do commit: 2018-02-28, 13:59:24,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,aliyun/alicloud-android-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aliyun/alicloud-android-demo/mpush_android_demo/build.gradle,26,291,Data do commit: 2018-03-26, 10:10:55,Data de lancamento da versao,2017-06-08, 00:00:00,
Android,dlazaro66/QRCodeReaderView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/dlazaro66/QRCodeReaderView/qrcodereaderview/build.gradle,24,46,Data do commit: 2016-07-31, 03:12:50,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,dlazaro66/QRCodeReaderView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/dlazaro66/QRCodeReaderView/qrcodereaderview/build.gradle,25,67,Data do commit: 2017-01-28, 18:53:10,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,dlazaro66/QRCodeReaderView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/dlazaro66/QRCodeReaderView/qrcodereaderview/build.gradle,24,235,Data do commit: 2017-02-06, 00:27:51,Data de lancamento da versao,2016-06-15, 00:00:00,
