framework,projeto,caminho,versao,delay,Data do commit,hora,data da versao,data,hora
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.1.1.RELEASE,6,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.1.5.RELEASE,15,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.1.7.RELEASE,15,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.1.9.RELEASE,19,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.2.2.RELEASE,0,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.2.7.RELEASE,6,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.3.5.RELEASE,24,,,,,
Spring,nosqlcoco/springboot-weapp-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/nosqlcoco/springboot-weapp-demo/pom.xml,1.4.2.RELEASE,1,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.1.1.RELEASE,6,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.1.5.RELEASE,15,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.1.7.RELEASE,15,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.1.9.RELEASE,19,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.2.1.RELEASE,41,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.2.2.RELEASE,0,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.2.7.RELEASE,6,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.3.0.RELEASE,10,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.3.1.RELEASE,64,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.3.2.RELEASE,29,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.3.5.RELEASE,24,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.5.1.RELEASE,21,,,,,
Spring,wyh-spring-ecosystem-student/spring-boot-student,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/wyh-spring-ecosystem-student/spring-boot-student/pom.xml,2.0.6.RELEASE,59,,,,,
Spring,wyh-spring-ecosystem-student/spring-boot-student,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/wyh-spring-ecosystem-student/spring-boot-student/pom.xml,1.5.13.RELEASE,220,,,,,
Spring,JThink/SkyEye,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/JThink/SkyEye/skyeye-statistics/pom.xml,1.5.4.RELEASE,48,,,,,
Spring,JThink/SkyEye,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/JThink/SkyEye/skyeye-statistics/pom.xml,1.3.6.RELEASE,394,,,,,
Spring,JThink/SkyEye,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/JThink/SkyEye/skyeye-statistics/pom.xml,1.5.4.RELEASE,55,,,,,
Spring,JThink/SkyEye,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/JThink/SkyEye/skyeye-statistics/pom.xml,1.3.6.RELEASE,387,,,,,
Spring,JThink/SkyEye,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/JThink/SkyEye/skyeye-statistics/pom.xml,1.5.4.RELEASE,48,,,,,
Spring,JThink/SkyEye,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/JThink/SkyEye/skyeye-statistics/pom.xml,1.5.6.RELEASE,118,,,,,
Spring,qiurunze123/miaosha,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/qiurunze123/miaosha/pom.xml,1.5.8.RELEASE,334,,,,,
Spring,dangdangdotcom/config-toolkit,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/dangdangdotcom/config-toolkit/config-toolkit-demo/pom.xml,1.5.9.RELEASE,126,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-thymeleaf/pom.xml,1.5.9.RELEASE,141,,,,,
Spring,dangdangdotcom/config-toolkit,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/dangdangdotcom/config-toolkit/config-face/pom.xml,2.0.0.RELEASE,0,,,,,
Spring,yu199195/myth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/yu199195/myth/pom.xml,1.5.9.RELEASE,13,,,,,
Spring,yu199195/myth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/yu199195/myth/pom.xml,2.1.1.RELEASE,87,,,,,
Spring,yu199195/myth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/yu199195/myth/pom.xml,2.0.2.RELEASE,337,,,,,
Spring,Zoctan/spring-boot-vue-admin,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Zoctan/spring-boot-vue-admin/api/pom.xml,2.0.2.RELEASE,30,,,,,
Spring,binarywang/weixin-java-miniapp-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/binarywang/weixin-java-miniapp-demo/pom.xml,1.5.2.RELEASE,128,,,,,
Spring,binarywang/weixin-java-miniapp-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/binarywang/weixin-java-miniapp-demo/pom.xml,2.0.4.RELEASE,46,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,18,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.1.RELEASE,182,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,23,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.1.RELEASE,183,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,25,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.1.RELEASE,185,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,33,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.1.RELEASE,192,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,34,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.1.RELEASE,194,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,35,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.1.RELEASE,194,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,35,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.1.RELEASE,195,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,36,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.6.RELEASE,68,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,103,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.6.RELEASE,70,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,105,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.1.RELEASE,266,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.6.RELEASE,72,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,106,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.6.RELEASE,73,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,107,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.6.RELEASE,77,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,112,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.6.RELEASE,79,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,114,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.6.RELEASE,82,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,116,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,38,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,117,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,38,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,117,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,39,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.6.RELEASE,84,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,39,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.6.RELEASE,84,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,118,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,39,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,118,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,40,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,119,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,41,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,120,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,41,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,122,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.6.RELEASE,88,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,44,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,123,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,44,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,123,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,44,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.6.RELEASE,89,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,45,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.6.RELEASE,90,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,45,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,124,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,45,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,124,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,45,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.0.5.RELEASE,124,,,,,
Spring,alibaba/nacos,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alibaba/nacos/pom.xml,2.1.1.RELEASE,46,,,,,
Spring,naturalprogrammer/spring-lemon,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/naturalprogrammer/spring-lemon/pom.xml,1.4.0.RELEASE,2,,,,,
Spring,naturalprogrammer/spring-lemon,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/naturalprogrammer/spring-lemon/pom.xml,1.5.1.RELEASE,11,,,,,
Spring,naturalprogrammer/spring-lemon,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/naturalprogrammer/spring-lemon/pom.xml,1.5.3.RELEASE,26,,,,,
