framework,projeto,target,min
Android,exallium/RxRecyclerView,22,19
Android,torryharris/Skycons,25,14
Android,chentao0707/SettingView,19,10
Android,alt236/Bluetooth-LE-Library---Android,24,18
Android,yazhidev/Practice,25,15
Android,qkxyjren/LikeView,26,14
Android,toddway/ListOfThings,23,21
Android,hongyangAndroid/android-percent-support-extend,21,10
Android,jacek-marchwicki/JavaWebsocketClient,25,9
Android,codeka/wwmmo,28,19
Android,sphinx02/AppStarter,22,17
Android,sockeqwe/mosby,25,14
Android,D-clock/AndroidStudyCode,23,11
Android,milaptank/SpannableTextView,26,14
Android,senzhk/ADBKeyBoard,22,15
Android,brianwernick/ExoMedia,28,16
Android,seatgeek/android-PlacesAutocompleteTextView,27,14
Android,manmal/hn-android,19,8
Android,codesoup/android-cubic-bezier-interpolator,20,15
Android,anzaizai/EasyRefreshLayout,25,14
Android,jshvarts/OfflineSampleApp,26,16
Android,ShawnLin013/NumberPicker,28,15
Android,florina-muntenescu/MVPvsMVVM,23,15
Android,NikoYuwono/ToolbarPanel,23,15
Android,tyczj/MapNavigator,18,10
Android,penglu20/Bigbang,24,14
Android,MiEcosystem/NewXmPluginSDK,19,14
Android,xxxyanchenxxx/QqDecrpt,26,14
Android,frostwire/frostwire,28,19
Android,gowong/material-sheet-fab,23,14
Android,kaelaela/OpenGraphView,25,16
Android,blazsolar/HorizontalPicker,23,14
Android,omkarmoghe/Pokemap,24,17
Android,nshmura/RecyclerTabLayout,26,14
Android,CoXier/LowPoly,23,14
Android,AppLozic/Applozic-Android-SDK,27,14
Android,maksim88/PasswordEditText,25,15
Android,HITGIF/TextFieldBoxes,28,15
Android,payatu/diva-android,23,15
Android,requery/sqlite-android,28,14
Android,uber/rave,28,15
Android,JakeWharton/SwipeToDismissNOA,15,4
Android,tarek360/RichPath,25,14
Android,MOLO17/CustomizableCalendar,26,19
Android,quiqueqs/BabushkaText,21,11
Android,Beseting/PhotoBrowse,28,14
Android,markzhai/init,23,8
Android,47deg/appsly-android-rest,21,9
Android,LuckyJayce/GuideHelper,23,9
Android,consenlabs/token-core-android,26,19
Android,Xiaofei-it/Hermes,23,9
Android,orhanobut/bee,21,10
Android,omadahealth/CircularBarPager,26,14
Android,MartinRGB/GiftCard-Android,22,19
Android,tibi1712/FoldingNavigationDrawer-Android,18,11
Android,cattong/YiBo,8,4
Android,ksvc/KSYStreamer_Android,27,15
Android,ruboto/ruboto-irb,17,10
Android,aliyun/alicloud-android-demo,17,9
Android,sbakhtiarov/gif-movie-view,17,4
Android,google/android-classyshark,23,19
Android,pavlospt/RxFile,27,19
Android,ricknout/lens-launcher,25,15
Android,sdwfqin/AndroidQuick,28,21
Android,andrebts/login-basics,23,14
Android,tvbarthel/ChaseWhisplyProject,21,14
Android,yewei02538/HiPermission,23,14
Android,kaaes/spotify-web-api-android,23,15
Android,jaikydota/Android-ImagesPickers,22,15
Android,AndroidMsky/RandomTextView,23,15
Android,yaa110/Piclice,22,14
Android,AlexKorovyansky/android-fb-like-slideout-navigation,11,7
Android,linroid/FilterMenu,21,14
Android,flavienlaurent/singleinputform,19,14
Android,ww6015132/SilkySignature,22,9
Android,iDevicesInc/SweetBlue,26,18
Android,vikramkakkar/ImageTransition,24,14
Android,mikepenz/ItemAnimators,28,14
Android,andraskindler/quickscroll,17,8
Android,ganyao114/SandHook,28,19
Android,MindorksOpenSource/AndroidTensorFlowMNISTExample,26,14
Android,hitherejoe/AndroidTvBoilerplate,23,21
Android,z56402344/AnimTextView,22,8
Android,codekidX/storage-chooser,28,16
Android,lukaspili/Reactive-Billing,23,16
Android,jiang111/ProgressView,23,15
Android,TakuSemba/MultiSnapRecyclerView,25,13
Android,Slyce-Inc/SlyceMessaging,24,16
Android,mkch/android-wifi-connecter,14,3
Android,xiongwei-git/GankApp,21,19
Android,androidthings/sample-tensorflow-imageclassifier,27,27
Android,mdg-iitr/RotatingText,27,16
Android,dimorinny/show-case-card-view,27,15
Android,medyo/android-about-page,27,15
Android,nicolasjafelle/PagingListView,22,9
Android,shangmingchao/PopupList,28,15
Android,jpardogo/FlabbyListView,19,10
Android,ankushsachdeva/emojicon,18,8
Android,yangchong211/YCShopDetailLayout,28,17
Android,arturogutierrez/Badges,19,8
Android,hnvn/flutter_image_cropper,28,16
Android,SpikeKing/wcl-permission-demo,23,14
Android,jacobrosenthal/react-native-ble,23,21
Android,guozhengXia/OkHttpUtils,23,16
Android,yanzhenjie/NoHttp,27,14
Android,eowise/recyclerview-stickyheaders,21,7
Android,dsandler/markers,19,5
Android,cachapa/ExpandableLayout,27,14
Android,koral--/android-gif-drawable,28,17
Android,easymock/easymock,27,26
Android,fornana/swipeitemlayout,25,11
Android,fossasia/open-event-orga-app,28,21
Android,vector-im/riot-android,28,16
Android,dlazaro66/QRCodeReaderView,26,14
Android,iamMehedi/Secured-Preference-Store,27,18
Android,slymax/webview,28,21
Android,WellingtonCosta/convalida,28,14
Android,xiangtailiang/FakeGPS,23,14
Android,Cleveroad/FireworkyPullToRefresh,24,17
Android,razerdp/FriendCircle,28,17
Android,aliumujib/Nibo,27,16
Android,traex/RippleEffect,23,14
Android,tianzhijiexian/DBinding,25,14
Android,gzsll/WebViewJavascriptBridge,23,14
Android,amilcar-sr/JustifiedTextView,28,14
Android,dingjibang/GDX-RPG,22,8
Android,ihsanbal/Wiv,25,16
Android,florent37/ExpectAnim,25,14
Android,motianhuo/VCameraDemo,16,14
Android,prcaen/external-resources,23,9
Android,lichao315/Calendar,18,8
Android,Catrobat/Catroid,26,19
Android,makovkastar/FloatingActionButton,22,7
Android,ValuesFeng/AndroidPicturePicker,23,11
Android,MichaelEvans/Aftermath,23,15
Android,vlonjatg/progress-activity,26,14
Android,ragdroid/Dahaka,26,16
Android,maxiee/HeartBeat,23,15
Android,openid/AppAuth-Android,27,16
Android,benniaobuguai/android-dynamic-action,21,14
Android,k0shk0sh/PermissionHelper,24,14
Android,grantland/android-autofittextview,23,14
Android,linglongxin24/WelcomeVideoPager,25,9
Android,ManuelPeinado/ImageLayout,19,4
Android,colintheshots/AnDevCon-RxPatterns,24,16
Android,HomHomLin/SlidingLayout,23,9
Android,ryanlijianchang/Recyclerview-Gallery,27,15
Android,tekinarslan/AndroidMaterialDesignToolbar,22,16
Android,nanchen2251/CoordinatorAppBarDemo,25,14
Android,Devlight/TintLayout,23,11
Android,glt/ScreenRecorder,23,9
Android,lessthanoptimal/BoofCV,27,21
Android,wongzy/BetterWay,25,19
Android,kiwi-bop/flutter_crashlytics,16,28
Android,skydoves/PowerMenu,28,15
Android,android-hacker/VirtualXposed,22,15
Android,LaiFeng-Android/SopCastComponent,22,14
Android,aporter/coursera-android,19,16
Android,shardul/Android,15,8
Android,WrBug/DeveloperHelper,28,21
Android,limpoxe/Android-ServiceManager,23,11
Android,wrapp-archive/floatlabelededittext,19,7
Android,emotionsense/SensorManager,23,14
Android,zaihuishou/ExpandableRecyclerview,24,15
Android,jiangzehui/MD,24,15
Android,linsea/UniversalVideoView,23,9
